სათაური,ავტორი,ფასი
მეოთხე დღეა,თემო ჯავახი,"GEL 2,042 "
ბრმები,თემო ჯავახი,"GEL 2,860 "
უსასრულობა,თემო ჯავახი,"GEL 2,042 "
თეთრი მხედარი,თორნიკე რობაქიძე,GEL 858 
ჩემი კოსმოსი,თემო ჯავახი,"GEL 2,860 "
პეიზაჟი,თემო ჯავახი,"GEL 3,274 "
ფერადი,თემო ჯავახი,"GEL 3,266 "
ქუჩა,თემო ჯავახი,"GEL 2,860 "
ბებია და შვილიშვილი,თემო ჯავახი,"GEL 4,084 "
უსათაუროდ,თემო ჯავახი,"GEL 3,266 "
ღელვის შემდგომ,თორნიკე რობაქიძე,GEL 744 
სსრკ,წილოსანი,"GEL 2,459 "
ძველი უბანი,ნუგზარ ჯაფარიძე,GEL 815 
შეხვედრა,რეზო კუპრეიშვილი,GEL 815 
პეიზაჟი,ირაკლი პაიჭაძე,GEL 615 
უსათაუროდ,დავით ქუთათელაძე,"GEL 4,090 "
მზის ჩასვლა,თორნიკე რობაქიძე,GEL 744 
უსათაუროდ,დავით ქუთათელაძე,"GEL 4,090 "
უსათაუროდ,დავით ქუთათელაძე,"GEL 4,090 "
ერთხელ კიდევ,ვლადიმერ კვაჭაძე,GEL 815 
უსათაუროდ,დავით ქუთათელაძე,"GEL 3,675 "
პეიზაჟი,დავით ბერიძე,"GEL 1,230 "
უსათაუროდ,დავით ქუთათელაძე,"GEL 5,291 "
მამალი,თამაზ აბაშიძე,"GEL 2,459 "
გასროლა,თენგიზ სოსელია,GEL 612 
უსათაუროდ,დავით ქუთათელაძე,"GEL 5,291 "
უსათაუროდ,დავით ქუთათელაძე,"GEL 5,291 "
ნატურმორტი,თენგიზ სოსელია,"GEL 1,224 "
უსათაუროდ,დავით ქუთათელაძე,"GEL 5,291 "
რღვევა,ვლადიმერ კვაჭაძე,GEL 815 
ბებოს სკივრი,ვლადიმერ გობოზოვი,"GEL 1,021 "
პეიზაჟი,ეკატერინე ბაღდავაძე,"GEL 8,179 "
პეიზაჟი,დავით ბერიძე,"GEL 1,230 "
პეიზაჟი,გია გუგუშვილი,"GEL 1,644 "
სიყვარული,მუჩიაშვილი,"GEL 1,224 "
პეიზაჟი,გიორგი უგულავა,"GEL 1,430 "
პეიზაჟი,ილია პატაშური,"GEL 4,905 "
"სერიიდან ""ნაცრისფერი ზონა""",გიორგი უგულავა,"GEL 1,344 "
"სერიიდან ""ნაცრისფერი ზონა""",გიორგი უგულავა,"GEL 1,344 "
"სერიიდან ""ნაცრისფერი ზონა""",გიორგი უგულავა,"GEL 1,344 "
"სერიიდან ""ნაცრისფერი ზონა""",გიორგი უგულავა,"GEL 1,344 "
პეიზაჟი,გიორგი უგულავა,"GEL 1,344 "
პეიზაჟი,გიორგი უგულავა,"GEL 1,344 "
უსათაუროდ,მამია ახობაძე,"GEL 2,860 "
სოფელი,მამია ახობაძე,"GEL 6,126 "
ბათუმი,მამია ახობაძე,"GEL 4,084 "
სერიიდან „სიმშვიდე შტორმის შემდეგ“,მარიამ აქუბარდია,"GEL 1,759 "
პეიზაჟი,გიორგი უგულავა,"GEL 1,344 "
პეიზაჟი,გიორგი უგულავა,"GEL 1,344 "
"Ascension. სერიიდან ""Within Nature. Rhythm""",ნიკა კოპლატაძე,"GEL 4,090 "
პეიზაჟი,გიორგი უგულავა,"GEL 1,344 "
"ტალღები. სერიიდან ""Within Nature. Rhythm""",ნიკა კოპლატაძე,"GEL 3,274 "
